;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
розовый;9.553522e-07;1.4324384e-06;1.6031414e-06;6.825807e-07;6.0321855e-07;3.580962e-06;1.1101029e-06;1.0224525e-06;2.0244312e-05;1.2739105e-06;1.441603e-06;5.452429e-07;3.0792748e-06;1.1065735e-05;5.0062266e-07;0.0008414692;1.3369317e-05;1.8539204e-06;1.0914576e-06
бутылка;3.1966267e-06;0.00038247605;0.00013220917;3.6338347e-06;5.0142393e-05;7.650226e-06;2.018212e-06;5.3573345e-05;0.00029663526;1.7940534e-05;0.000300754;5.83788e-05;2.6331478e-05;7.4900395e-06;5.605719e-05;1.498417e-05;8.307632e-06;1.6397764e-05;4.995416e-05
финский;1.6436114e-06;3.6965748e-06;0.000300045;2.3106145e-06;7.978665e-06;1.1724977e-05;6.920377e-05;0.00023334901;7.1560066e-06;7.930983e-06;1.21325065e-05;8.396447e-06;3.4629622e-05;3.4516488e-06;8.9972245e-06;7.6232263e-06;2.3296343e-06;3.8660396e-06;5.047658e-06
ведущий;6.087212e-05;8.832712e-06;8.378926e-05;7.569414e-05;0.0008247994;0.00034554812;2.7984008e-05;1.5099847e-05;2.9603936e-05;1.6895261e-05;3.4082674e-05;0.00078668934;0.00034412628;0.00027147186;0.000771619;0.00036462868;0.0018953509;0.0026344773;9.385993e-06
разбойный;2.0125335e-06;0.00047757235;7.8103307e-07;2.6313347e-07;2.0603373e-07;6.7165035e-07;4.5509415e-07;1.1119126e-06;4.0454656e-06;1.5223465e-06;1.5967975e-06;2.6212686e-07;1.4836634e-06;9.562066e-07;2.0794418e-07;1.2966074e-06;7.936226e-07;7.5996917e-07;3.2930325e-06
незнакомый;1.2894914e-06;3.033917e-05;3.1691534e-06;4.7133994e-07;1.9144925e-06;1.7057968e-06;6.2816656e-07;1.0640272e-06;0.00043826722;1.9098527e-06;8.326332e-07;1.9551892e-06;1.7365348e-05;1.2842195e-06;1.7729802e-06;2.6633263e-06;3.721442e-06;3.3927704e-06;1.624917e-06
поисковый;2.9452415e-06;2.9558794e-05;0.00014191613;8.771801e-07;3.698744e-06;7.261794e-07;1.058152e-06;1.3156649e-06;6.553683e-06;0.00031804177;4.181677e-06;4.813021e-06;8.750651e-06;1.4443385e-06;4.7188837e-06;2.7096703e-06;0.000667412;5.2997157e-06;1.9301094e-06
видеозапись;0.00026059052;0.00027338866;1.660973e-06;1.5969307e-07;6.296283e-06;6.541539e-06;8.180079e-07;1.1352563e-06;0.001959021;0.00012045486;4.1777363e-07;6.337061e-06;3.9998563e-06;3.2290877e-06;4.189192e-06;8.622643e-06;0.0019182285;3.2748758e-05;6.296877e-06
комфортный;7.968637e-07;1.2351722e-06;0.00041681703;1.0003702e-05;3.513019e-06;1.4856275e-06;1.7918945e-06;1.1498789e-06;3.944437e-06;3.0516974e-06;3.2026044e-05;3.4948848e-06;2.928239e-06;1.9457732e-06;4.281397e-06;5.058426e-05;1.2284983e-05;1.6783199e-06;1.6144427e-06
отдалить;7.3580915e-05;1.1701427e-06;4.408809e-06;1.7902121e-06;3.2440485e-06;1.1584565e-06;1.9813158e-06;6.4514853e-07;2.1146964e-06;3.8825756e-06;7.221635e-05;4.1907274e-06;0.0001307695;2.7872259e-06;3.7159098e-06;2.636843e-06;2.5192282e-06;1.5853324e-06;1.8262847e-06
постройка;0.000111998444;0.00018886579;2.8878046e-06;4.6569184e-07;3.4603067e-06;1.1691803e-06;2.0702914e-06;9.552425e-07;0.00016055988;0.00049320346;1.4836569e-06;4.1573417e-06;4.399888e-06;2.0462787e-06;3.4689174e-06;4.2511037e-06;1.4405583e-06;2.3199589e-06;4.957891e-06
сравниваться;9.661095e-07;8.9504647e-07;0.00015099611;1.43481975e-05;1.1305023e-06;1.2929199e-06;1.2274706e-06;5.9735496e-05;1.8404894e-06;1.219937e-05;2.1465385e-06;1.1299398e-06;9.0355425e-06;1.3686778e-06;1.346233e-06;2.3316572e-06;1.9818035e-06;1.2878168e-06;8.514065e-07
невыплата;2.7431365e-06;3.3420176e-06;2.0963653e-06;3.8148564e-06;1.260986e-06;1.5165103e-06;1.8610948e-06;1.570871e-06;2.237737e-06;2.8653147e-05;4.579937e-06;1.5314921e-06;1.1205166e-06;1.7031587e-06;1.2286581e-06;1.3676944e-06;1.2868727e-06;6.350231e-06;0.00044288835
страж;9.000241e-06;0.0024721066;2.0321004e-07;6.848322e-07;1.1445538e-06;2.634771e-06;3.1375096e-06;2.8352986e-06;1.7740575e-05;2.515139e-06;9.793013e-06;1.5211936e-06;1.2610411e-06;3.9357387e-06;1.1590598e-06;1.6465007e-06;1.7083399e-06;4.3613377e-06;0.0023003463
проститутка;1.8807939e-06;0.00018319575;1.4110457e-06;3.4205007e-07;1.059127e-06;1.7608982e-06;7.258305e-07;1.124197e-06;8.188105e-05;1.3766179e-06;7.509749e-07;1.2184621e-06;1.9636723e-06;1.6012073e-06;9.169723e-07;7.1844283e-06;5.1264497e-06;5.72743e-06;6.4656524e-06
крыло;0.0002980957;1.0867682e-05;3.7853265e-06;1.5356632e-06;4.8256084e-06;2.4869948e-06;3.1247919e-06;0.00012537904;1.3768324e-05;0.00054556865;1.6460232e-06;4.6340474e-06;2.0400666e-05;0.00037432474;4.2946876e-06;3.6428642e-06;1.2434009e-06;3.006499e-06;2.0112002e-06
штраф;1.895847e-06;0.00025081597;9.103469e-06;2.8397474e-06;6.6848934e-06;2.0996952e-06;1.2336648e-06;0.00029737336;3.987315e-06;3.4614077e-06;0.0013343442;9.0303765e-06;1.1315624e-06;1.6894872e-05;6.704811e-06;2.221906e-06;3.4673897e-06;7.847317e-06;0.002707507
евразийский;1.4779946e-06;5.3401743e-07;9.60481e-05;1.9498239e-05;4.5688944e-06;0.00019459311;0.000103275306;1.5494725e-06;1.967855e-06;3.037971e-06;0.00043972975;4.705502e-06;1.6741695e-05;6.957643e-06;5.972437e-06;2.615739e-06;2.4406884e-06;2.7989252e-06;2.2985564e-06
изучать;8.462302e-06;9.5081414e-05;1.893866e-05;8.141147e-06;0.00041153948;1.5980588e-05;3.9749746e-05;5.5551272e-06;0.00016964327;1.6630705e-05;0.0003548405;0.00047070178;0.0020979976;0.00040938618;0.00041851684;5.237536e-06;4.7560603e-05;0.00022721077;1.0412016e-05
карпатос;2.0281263e-06;1.0861786e-06;3.5577557e-06;3.417853e-07;1.9349504e-07;2.9959955e-07;2.2309018e-06;1.0368574e-06;2.7508156e-06;0.0010522449;6.8272595e-07;2.4968278e-07;1.8011408e-06;9.0344923e-07;2.3918233e-07;1.4714193e-06;6.420109e-07;1.6714762e-07;1.5418568e-06
