;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
brush;9.814887e-09;4.496618e-05;1.0909893e-08;6.656705e-05;3.0205902e-09;8.614574e-05;0.00010528398;3.9278733e-11;0.00010202405;4.4168024e-05;5.603176e-05;1.206575e-07;2.511766e-08;8.136758e-08;1.3479083e-12;3.56031e-05
gregory;4.979939e-10;0.0003731475;2.3700428e-09;3.4016618e-06;2.0092387e-14;1.3553401e-06;5.2750454e-07;4.3505814e-14;2.7553613e-06;4.9979266e-05;3.2348973e-05;2.6819906e-13;1.0053993e-11;2.9887353e-05;2.0537814e-13;6.5118033e-06
steam;4.0194657e-12;6.650901e-05;1.21601e-08;7.022432e-05;3.8164816e-10;8.521595e-05;0.00022822377;1.1201332e-08;0.0003789508;4.8210004e-05;3.735424e-05;1.0630561e-06;1.6016884e-07;1.4637558e-06;2.0343177e-07;4.4861743e-05
badly;1.199297e-08;2.8646977e-05;2.1301025e-07;7.6948345e-05;4.0482137e-06;0.000117803305;1.1029452e-05;1.3701255e-07;0.0001254617;5.167864e-05;5.559439e-05;0.00023751125;3.1182604e-05;2.257774e-07;1.3991798e-09;6.919719e-05
david;6.006487e-09;0.00028758126;6.4454997e-07;4.9868686e-05;5.3158155e-11;5.8487632e-05;3.28403e-05;4.450726e-08;3.4598113e-05;3.8019392e-05;0.00040713252;4.8381548e-08;1.3439708e-06;0.042760063;2.980212e-11;5.600748e-05
lourde;3.6669612e-35;2.22646e-06;6.1487844e-20;1.2400305e-09;1.3630174e-20;6.026233e-07;1.0435459e-14;0.0;4.7640386e-10;0.0004487647;3.8418717e-09;7.992205e-32;6.6370466e-13;1.7261538e-10;1.3650041e-24;6.9115765e-07
connecticut;5.3964965e-13;0.00012584642;8.4832176e-11;1.4717514e-05;4.6690814e-14;8.941501e-06;1.0516044e-06;1.2270567e-13;7.7292825e-06;5.988821e-05;1.7031061e-05;7.458352e-14;1.419765e-10;0.00015824573;1.2724127e-10;0.00014055526
energia;5.8854245e-17;0.00024364925;1.0169177e-12;4.3657107e-07;9.449368e-16;2.4249639e-08;8.199586e-09;2.1289374e-20;1.090435e-06;5.8812486e-05;4.212616e-07;4.3456016e-17;3.1134602e-15;8.355653e-08;5.436213e-21;1.8827683e-06
middle;2.5049989e-09;4.64468e-05;6.620493e-09;0.00017704171;4.2692506e-08;0.00024576776;0.00014032061;3.044433e-07;0.0004349364;4.176826e-05;0.00016588708;1.0430383e-05;3.4954094e-06;8.0443823e-07;1.1774775e-12;0.00021492541
asic;7.060233e-17;0.0001482962;8.0831826e-12;1.4265901e-06;9.027663e-16;5.1355677e-08;3.937331e-07;2.5103308e-19;9.389695e-07;7.1764734e-05;6.0690945e-07;5.175656e-15;3.7281136e-16;2.4898062e-08;1.3830227e-18;1.5459162e-06
tokyo;1.2016942e-12;0.00016792264;1.3566303e-07;1.5389265e-05;1.7806038e-13;6.8036684e-06;1.04699175e-05;1.200144e-13;2.070048e-05;4.7153957e-05;6.430567e-06;1.1582963e-13;3.5336498e-11;0.00036921358;6.3044764e-15;0.00011237046
testimony;1.1899791e-13;3.2187876e-05;2.2592238e-07;0.0003433017;2.5241457e-08;0.00017267729;7.148397e-05;2.5878254e-11;9.599499e-05;4.4026074e-05;0.00040106868;1.5156148e-06;3.6215927e-06;8.877458e-09;5.896344e-12;0.00014307482
matter;1.2109571e-09;2.8493674e-05;4.153031e-05;0.0002776156;1.8945768e-08;7.331236e-05;6.115281e-05;3.412161e-10;0.00021004528;5.178555e-05;0.00033969607;3.5809776e-08;0.011477737;5.7132006e-09;2.5276936e-09;9.365205e-05
telecommunication;4.1505064e-20;5.532658e-05;0.0007718548;2.810654e-07;9.392849e-21;9.3618855e-06;2.2003759e-07;3.2585235e-28;3.1649552e-07;6.3877225e-05;1.6310254e-06;8.398404e-26;5.5365598e-21;0.0002554735;9.006863e-39;8.321749e-05
idle;3.2669657e-13;3.932804e-05;1.253782e-09;2.6154567e-05;1.6273526e-09;4.4161876e-05;1.1311485e-05;6.023839e-09;0.000108443724;5.1148952e-05;1.4439752e-05;7.482608e-09;2.774152e-09;8.11246e-08;2.4321856e-09;1.379436e-05
diving;3.6138487e-10;5.486486e-05;1.8236507e-09;1.4452928e-05;8.500931e-09;7.404876e-05;4.8742413e-06;1.3150894e-13;6.175839e-05;4.6813355e-05;1.1270137e-05;1.7790516e-10;9.493287e-09;2.2065132e-08;1.6648995e-11;2.4455352e-05
